avg_load,max_load,proc_cpu,mem_used_pct,procs_running,procs_blocked,loadavg1,loadavg5,loadavg15,psi_cpu_some,psi_cpu_full,proc_vms_kb,proc_rss_kb,proc_threads,proc_read_bytes,proc_write_bytes,boost_level
2,15,88.4,18.265636357558968,1,1,1.07,0.83,0.41,0.0,0.0,1461953228,287180.0,23.0,0.0,0.0,3
0,2,123.0,14.138937073417257,5,0,0.98,0.81,0.4,0.0,0.0,34745532,337556.0,38.0,0.0,282624.0,3
6,24,198.0,17.566690463753844,2,1,0.98,0.81,0.4,0.0,0.0,34785928,448216.0,38.0,0.0,655360.0,3
31,46,126.0,17.77744684693584,2,1,0.98,0.81,0.4,0.0,0.0,34785928,457112.0,36.0,0.0,4833280.0,3
9,97,122.0,18.235353691067917,2,0,0.98,0.81,0.4,0.0,0.0,1461949612,285156.0,23.0,0.0,0.0,3
9,70,116.0,18.335930059512677,2,0,0.98,0.81,0.4,0.0,0.0,1461953164,285756.0,23.0,0.0,0.0,3
2,10,96.6,18.156778403220443,1,0,0.98,0.81,0.4,0.0,0.0,1461953164,285760.0,23.0,0.0,0.0,3
0,4,82.7,18.176434697450212,1,0,0.98,0.81,0.4,0.0,0.0,1461953164,285760.0,23.0,0.0,0.0,3
8,27,185.0,14.4032992640863,3,0,0.91,0.8,0.4,0.0,0.0,34793176,410220.0,40.0,0.0,458752.0,3
30,44,176.0,17.165507494086896,2,1,0.91,0.8,0.4,0.0,0.0,34818708,455408.0,38.0,0.0,5189632.0,3
14,58,113.0,17.852879123269403,2,0,0.91,0.8,0.4,0.0,0.0,34818708,457824.0,38.0,0.0,5189632.0,3
7,60,123.0,18.45102414780735,3,1,0.91,0.8,0.41,0.0,0.0,1461949616,323376.0,23.0,0.0,0.0,3
7,24,110.0,18.60460765487938,2,0,0.91,0.8,0.41,0.0,0.0,1461953168,286768.0,23.0,0.0,0.0,3
2,19,92.6,18.37915894009669,2,0,0.91,0.8,0.41,0.0,0.0,1461953168,286768.0,23.0,0.0,0.0,3
1,7,79.5,18.38402312458249,1,0,0.91,0.8,0.41,0.0,0.0,1461953168,286768.0,23.0,0.0,0.0,2
5,53,130.0,14.765219534365336,2,1,0.84,0.79,0.4,0.0,0.0,2053152,525648.0,36.0,2850816.0,12288.0,3
12,66,115.0,16.03556991030444,1,1,0.84,0.79,0.4,0.0,0.0,2127044,621200.0,38.0,2932736.0,28672.0,3
2,11,90.7,16.69071319920158,1,1,0.84,0.79,0.4,0.0,0.0,2409692,634720.0,55.0,2965504.0,32768.0,3
2,17,69.9,17.506125130771732,1,1,0.84,0.79,0.4,0.0,0.0,2403884,629056.0,55.0,2965504.0,32768.0,2
7,100,57.4,17.748910297952502,1,1,0.84,0.79,0.4,0.0,0.0,2403884,629056.0,55.0,2965504.0,32768.0,3
1,12,50.9,18.55753731577837,2,0,0.84,0.79,0.4,0.0,0.0,2403884,629056.0,55.0,2965504.0,32768.0,1
3,20,45.8,17.61428463810717,2,0,0.84,0.79,0.4,0.0,0.0,2403884,629056.0,55.0,2965504.0,32768.0,1
0,2,85.7,13.621313010521108,2,0,0.77,0.78,0.4,0.0,0.0,1266392,152156.0,16.0,0.0,12288.0,3
7,39,149.0,15.388334039263697,2,1,0.77,0.78,0.4,0.0,0.0,2101012,601380.0,35.0,0.0,28672.0,3
11,55,100.0,15.960711358294832,1,0,0.77,0.78,0.4,0.0,0.0,2129568,624380.0,38.0,0.0,28672.0,3
7,100,79.0,16.522886362173704,1,1,0.77,0.78,0.4,0.0,0.0,2429524,635016.0,56.0,0.0,32768.0,3
4,32,67.5,17.39429877667007,1,1,0.77,0.78,0.4,0.0,0.0,2429524,641576.0,56.0,0.0,32768.0,2
9,100,58.1,18.114746860356,2,1,0.77,0.78,0.4,0.0,0.0,2421996,634048.0,56.0,0.0,32768.0,3
3,23,51.0,18.843975420652185,1,1,0.79,0.78,0.4,0.0,0.0,2421996,634112.0,56.0,0.0,32768.0,1
2,18,46.5,18.140539510398625,1,1,0.79,0.78,0.4,0.0,0.0,2421996,634112.0,56.0,0.0,32768.0,1
0,2,143.0,14.98645262259366,3,0,0.79,0.78,0.4,0.0,0.0,1927976,453168.0,32.0,0.0,12288.0,3
8,35,146.0,16.16308637743976,1,1,0.79,0.78,0.4,0.0,0.0,2133484,629808.0,38.0,0.0,28672.0,3
11,55,95.4,16.298235872537415,2,0,0.81,0.78,0.41,0.0,0.0,2149872,634120.0,39.0,0.0,32768.0,3
1,10,78.8,17.212178720614713,1,1,0.81,0.78,0.41,0.0,0.0,2419320,648704.0,55.0,16384.0,32768.0,2
3,23,65.2,17.478511529613904,3,1,0.81,0.78,0.41,0.0,0.0,2411792,641176.0,55.0,16384.0,32768.0,2
9,100,56.5,18.26680875074273,2,1,0.81,0.78,0.41,0.0,0.0,2411792,641176.0,55.0,16384.0,32768.0,3
2,19,50.4,17.209559544353127,2,1,0.81,0.78,0.41,0.0,0.0,2411792,641176.0,55.0,16384.0,32768.0,1
2,19,44.8,17.986856225183303,1,1,0.81,0.78,0.41,0.0,0.0,2411792,641176.0,55.0,16384.0,32768.0,1
7,37,134.0,14.731743967288736,4,0,0.74,0.77,0.41,0.0,0.0,1965424,482236.0,33.0,0.0,12288.0,3
11,55,123.0,16.02312258692796,1,1,0.74,0.77,0.41,0.0,0.0,2128644,629132.0,38.0,0.0,28672.0,3
1,10,80.9,16.010201317370832,3,0,0.74,0.77,0.41,0.0,0.0,2145032,632780.0,39.0,0.0,32768.0,3
3,23,71.2,16.781486365067277,1,1,0.74,0.77,0.41,0.0,0.0,2412232,639944.0,55.0,12288.0,32768.0,2
21,100,59.6,17.17144429361315,1,1,0.74,0.77,0.41,0.0,0.0,2404704,632416.0,55.0,12288.0,32768.0,3
9,100,52.3,17.964830200050187,2,1,0.74,0.77,0.41,0.0,0.0,2404704,632416.0,55.0,12288.0,32768.0,3
2,18,46.3,17.33385816636708,1,1,0.74,0.77,0.41,0.0,0.0,2404704,632416.0,55.0,12288.0,32768.0,1
0,4,80.0,13.338017917161194,1,1,0.76,0.77,0.41,0.0,0.0,1162040,92984.0,13.0,0.0,12288.0,3
9,48,155.0,14.880612957089912,4,1,0.76,0.77,0.41,0.0,0.0,2099020,602372.0,35.0,0.0,28672.0,3
10,46,106.0,15.517022899582775,1,1,0.76,0.77,0.41,0.0,0.0,2135704,629952.0,38.0,0.0,28672.0,3
1,10,81.0,16.171093573439453,2,0,0.76,0.77,0.41,0.0,0.0,2414564,644864.0,55.0,8192.0,32768.0,3
3,18,66.5,16.989598627451862,1,0,0.78,0.78,0.41,0.0,0.0,2409284,640428.0,55.0,8192.0,32768.0,2
2,20,56.5,17.38916020229021,2,1,0.78,0.78,0.41,0.0,0.0,2409284,640428.0,55.0,8192.0,32768.0,1
2,20,50.1,18.157626517438477,2,1,0.78,0.78,0.41,0.0,0.0,2409284,640492.0,55.0,8192.0,32768.0,1
2,17,44.7,17.312755089059472,2,0,0.78,0.78,0.41,0.0,0.0,2409284,640492.0,55.0,8192.0,32768.0,1
0,1,148.0,13.992487703591062,3,0,0.8,0.78,0.42,0.0,0.0,1917032,443304.0,32.0,0.0,12288.0,3
7,34,149.0,15.06590096919499,2,1,0.8,0.78,0.42,0.0,0.0,2115788,625248.0,37.0,0.0,28672.0,3
11,52,101.0,15.736859093804922,2,1,0.8,0.78,0.42,0.0,0.0,2150204,631600.0,39.0,0.0,32768.0,3
3,18,83.1,16.633116265982583,1,1,0.8,0.78,0.42,0.0,0.0,2417540,643768.0,55.0,0.0,32768.0,3
3,20,68.2,17.027115209332056,2,1,0.8,0.78,0.42,0.0,0.0,2410012,636240.0,55.0,0.0,32768.0,2
2,20,58.7,17.8059085623117,1,0,0.8,0.78,0.42,0.0,0.0,2410012,636240.0,55.0,0.0,32768.0,1
2,20,52.2,17.327472365195984,1,1,0.8,0.78,0.42,0.0,0.0,2410012,636304.0,55.0,0.0,32768.0,1
2,20,47.2,18.07451132407093,3,1,0.8,0.78,0.42,0.0,0.0,2410012,636304.0,55.0,0.0,32768.0,1
0,2,465.0,14.282068819978775,11,0,0.74,0.77,0.41,0.0,0.0,8949360,440068.0,71.0,0.0,40960.0,3
28,55,706.0,16.037091526989734,5,0,0.74,0.77,0.41,0.0,0.0,11004956,869140.0,95.0,0.0,155648.0,3
53,84,637.0,17.155280234398816,4,1,0.74,0.77,0.41,0.0,0.0,11283248,1040612.0,98.0,0.0,155648.0,3
32,67,568.0,17.597771355391288,4,0,0.74,0.77,0.41,0.18,0.0,11423608,1105768.0,100.0,0.0,155648.0,3
